date,rule,hit,miss,refund,net
2026-06-08,1,11,10,4,10.3
2026-06-09,1,42,161,43,-21.0
2026-06-09,2,5,8,3,20.5
2026-06-10,1,6,55,9,-20.8
2026-06-10,2,15,55,13,-20.3
2026-06-11,1,4,43,6,-20.3
2026-06-11,2,31,45,14,22.8
2026-06-12,1,8,20,6,24.9
2026-06-12,2,87,149,66,11.9
2026-06-13,1,9,12,5,20.4
2026-06-13,2,35,110,49,-18.6
2026-06-14,1,10,9,6,24.8
2026-06-14,2,104,171,98,21.4
2026-06-15,1,8,39,5,-20.7
2026-06-15,2,7,20,8,20.5
2026-06-16,1,74,124,40,28.2
2026-06-16,2,52,96,37,0.2
2026-06-17,1,18,104,18,-21.4
2026-06-17,2,71,129,48,20.6
2026-06-18,1,34,123,19,22.3
2026-06-18,2,83,153,65,27.2
2026-06-19,1,19,124,15,-20.0
2026-06-19,2,0,20,3,-20.0
2026-06-20,1,58,176,44,24.1
2026-06-20,2,57,82,39,23.4
2026-06-21,1,5,50,12,-21.5
2026-06-21,2,17,61,14,22.8
2026-06-22,1,53,137,52,-20.7
2026-06-22,2,7,14,4,24.7
2026-06-23,1,0,20,3,-20.0
2026-06-23,2,37,53,26,22.4
2026-06-24,2,1,1,0,0.9
2026-06-25,2,77,152,71,-1.7
2026-06-26,1,59,119,56,20.2
2026-06-26,2,45,62,31,21.2
2026-06-27,1,13,24,7,17.4
2026-06-27,2,18,54,20,-20.7
2026-06-28,1,5,4,4,5.2
2026-06-28,2,10,29,16,-10.5
2026-06-29,1,112,197,76,22.0
2026-06-29,2,7,37,13,-20.6
2026-06-30,1,40,64,20,10.0
2026-06-30,2,32,77,16,19.2
