pid,name,metric,direction,threshold,triggers,fut40,vs_breakeven
1,小六壬,big_small,low,旧<40,59,47.1,+12.0
1,小六壬,big_small,low,新<38,27,47.7,+12.6
1,小六壬,odd_even,low,旧<40,54,48.1,+13.0
1,小六壬,odd_even,low,新<38,27,46.8,+11.7
1,小六壬,combo,low,旧<20,235,24.1,+8.7
1,小六壬,combo,low,新<16,53,23.3,+7.9
4,追长龙,big_small,low,旧<40,41,48.7,+13.6
4,追长龙,big_small,low,新<38,13,46.2,+11.1
4,追长龙,odd_even,low,旧<40,16,50.6,+15.5
4,追长龙,odd_even,low,新<38,5,53.0,+17.9
4,追长龙,combo,low,旧<20,110,23.9,+8.5
4,追长龙,combo,low,新<16,19,23.3,+7.9
5,找平衡,big_small,low,旧<40,34,48.9,+13.8
5,找平衡,big_small,low,新<38,15,52.5,+17.4
5,找平衡,odd_even,low,旧<40,32,52.7,+17.6
5,找平衡,odd_even,low,新<38,11,52.5,+17.4
5,找平衡,combo,low,旧<20,146,26.6,+11.2
5,找平衡,combo,low,新<16,19,27.2,+11.8
7,频次趋势V1,big_small,low,旧<40,56,49.1,+14.0
7,频次趋势V1,big_small,low,新<38,27,51.1,+16.0
7,频次趋势V1,odd_even,low,旧<40,70,49.5,+14.4
7,频次趋势V1,odd_even,low,新<38,32,48.4,+13.3
7,频次趋势V1,combo,low,旧<20,249,25.5,+10.1
7,频次趋势V1,combo,low,新<16,46,22.7,+7.3
8,组合马尔可夫V1,big_small,low,旧<40,62,49.4,+14.3
8,组合马尔可夫V1,big_small,low,新<38,34,49.6,+14.5
8,组合马尔可夫V1,odd_even,low,旧<40,61,51.7,+16.6
8,组合马尔可夫V1,odd_even,low,新<38,32,52.2,+17.1
8,组合马尔可夫V1,combo,low,旧<20,248,25.9,+10.5
8,组合马尔可夫V1,combo,low,新<16,59,27.0,+11.6
9,遗漏回补V1,big_small,low,旧<40,66,49.0,+13.9
9,遗漏回补V1,big_small,low,新<38,28,47.1,+12.0
9,遗漏回补V1,odd_even,low,旧<40,55,51.3,+16.2
9,遗漏回补V1,odd_even,low,新<38,25,49.0,+13.9
9,遗漏回补V1,combo,low,旧<20,292,24.5,+9.1
9,遗漏回补V1,combo,low,新<16,46,24.9,+9.5
